observed_date,station_id,station_name,avg_temp,min_temp,max_temp,daily_rainfall,avg_humidity
2024-10-01,108,서울,15.5,10.2,21.8,12.5,74.2
2024-10-05,108,서울,14.8,9.5,20.5,22.3,78.5
2024-10-10,108,서울,13.2,8.1,19.2,35.8,82.1
2024-10-15,108,서울,12.5,7.2,18.5,18.2,76.3
2024-10-20,108,서울,11.8,6.5,17.8,8.5,72.8
2024-10-25,108,서울,10.5,5.1,16.2,42.1,85.2
2024-11-01,108,서울,8.2,3.5,13.5,15.8,78.9
2024-11-05,108,서울,7.5,2.8,12.8,25.2,80.4
2024-11-10,108,서울,5.8,1.2,11.2,38.5,84.6
2024-11-15,108,서울,4.5,0.2,9.8,28.1,82.3
2024-11-20,108,서울,3.2,-1.5,8.5,12.5,75.8
2024-11-25,108,서울,2.8,-2.1,8.2,5.2,73.2
2024-12-01,108,서울,1.5,-3.5,6.8,0.0,68.5
2024-12-10,108,서울,0.5,-5.2,5.5,2.5,72.1
2024-12-15,108,서울,-1.2,-6.8,4.2,0.0,65.3
2024-12-20,108,서울,-2.5,-8.1,3.5,0.0,62.8
2024-12-25,108,서울,-1.8,-7.2,4.8,1.5,66.2
